exp_ID,field_ID,YIELD,cv,use it
1,12,3300,Bermude,y
2,16,4244,Bermude,y
3,19,7500,Bermude,y
4,27,5274,Bermude,y
5,28,3200,Bermude,y
6,30,5350,Bermude,y
7,45,4586,Bermude,y
8,46,7310,Bermude,y
9,62,9108,Bermude,y
10,63,9122,Bermude,y
11,64,8703,Bermude,y
12,65,8042,Bermude,y
13,67,8733,Bermude,y
14,133,8050,Bermude,y
15,137,5041,Bermude,y
16,138,5140,Bermude,y
17,142,4718,Bermude,y
18,144,4500,Bermude,y
19,434,6350,Bermude,y
20,435,6550,Bermude,y
21,436,7500,Bermude,y
22,437,7500,Bermude,y
23,438,7500,Bermude,y
24,439,7500,Bermude,y
25,447,7800,Bermude,y
26,449,5600,Bermude,y
27,451,8300,Bermude,y
28,468,4800,Bermude,y
29,499,3300,Bermude,y
30,508,9600,Bermude,y
31,557,4300,Bermude,y
32,565,6500,Bermude,y
