"","year","month","day"
"1","2019","09","28"
"2","2016","10","01"
"3","2018","09","19"
"4","2018","10","07"
"5","2018","10","11"
"6","2018","09","27"
"7","2016","10","01"
"8","2017","09","20"
"9","2019","09","29"
"10","2016","09","21"
"11","2019","10","11"
"12","2017","10","06"
"13","2018","10","13"
"14","2019","10","15"
"15","2018","10","13"
"16","2016","10","12"
"17","2019","10","05"
"18","2016","10","02"
"19","2019","10","05"
"20","2018","10","05"
"21","2019","10","03"
"22","2017","09","27"
"23","2018","10","05"
"24","2017","09","30"
"25","2017","10","02"
"26","2019","10","18"
"27","2019","09","22"
"28","2018","10","08"
"29","2018","10","03"
"30","2017","09","20"
"31","2019","10","21"
"32","2018","10","08"
"33","2017","10","13"
"34","2020","10","08"
"35","2016","10","18"
"36","2020","09","25"
"37","2016","09","25"
"38","2016","10","01"
"39","2018","09","25"
"40","2019","10","02"
"41","2018","10","01"
"42","2017","10","08"
"43","2017","10","08"
"44","2020","10","08"
"45","2017","10","08"
"46","2017","10","08"
"47","2019","10","05"
"48","2019","10","04"
"49","2018","09","28"
"50","2017","10","04"
"51","2018","10","01"
"52","2019","10","11"
"53","2020","10","15"
"54","2017","10","15"
"55","2018","10","03"
"56","2016","09","30"
"57","2018","10","03"
"58","2016","09","29"
"59","2017","10","02"
"60","2017","10","02"
"61","2018","10","03"
"62","2016","09","28"
"63","2018","10","03"
"64","2016","09","29"
"65","2018","10","03"
"66","2016","09","29"
"67","2017","10","01"
"68","2018","10","03"
"69","2017","10","02"
"70","2018","11","02"
"71","2019","10","27"
"72","2016","10","23"
"73","2020","10","05"
"74","2020","10","05"
"75","2017","10","15"
"76","2018","10","21"
"77","2016","10","15"
"78","2019","10","20"
"79","2020","10","18"
"80","2017","10","20"
"81","2016","10","06"
