ID,Yield,,,ID,Yield
1,5135.4,1,5135.4,1,4059
2,3008.6,2,3626.6,2,3567.5
3,2774,3,3150.5,3,3398.5
4,3238.6,4,4144.7,4,3919.6
5,3979.7,5,5236.9,5,4057.7
6,3530.3,6,4829.5,6,3502
7,4279.7,7,4683.9,7,4513.2
8,3679.7,8,4699.3,8,1438.2
9,4072.4,9,5140.5,9,1785.5
10,3476.7,10,4737.5,10,3050.7
11,2892.7,11,3447.1,11,3000.6
12,2951.4,12,3677.4,12,3017
13,3091.9,13,4027.5,13,3412.2
14,3733.3,14,4830.3,14,3652.4
15,2170.4,15,3583.2,15,2262.5
16,2273.8,16,3520.1,16,2227.8
17,1691.8,17,2648.8,17,1605.6
18,1907.6,18,2808.8,18,1881.1
19,2323,19,3909.9,19,2247.4
20,2050.7,20,3359.5,20,2322.5
21,2087.8,21,3607.6,21,2387.5
22,2090.2,22,3385.6,22,2622.7
23,2001.5,23,3438,23,2352.3
24,3442.1,24,4255.2,24,3926
25,3377.5,25,4756.5,25,3488.6
26,4120.7,26,4789.9,26,4327.5
27,4226.5,27,4592,27,4265.8
28,3801.8,28,4266.3,28,4430.7
29,3522.6,29,4501.7,29,3580.4
30,3350.8,30,4573.1,30,3279.1
31,3366.5,31,3696.8,31,3831.7
32,3962.3,32,4120.4,32,4099.8
33,3661.9,33,4368.1,33,4135.8
34,4428.2,34,5295.5,34,4979.3
35,4886.2,35,4214.9,35,4699.3
36,3142,36,3645.5,36,3557.3
37,3203.4,37,3836.9,37,3590.5
38,4688,38,5244.8,38,4974.7
39,3944.3,39,4780,39,4274.3
40,3847.5,40,5406.9,40,4150.1
41,3874.1,41,4749.2,41,4307.8
42,3999.7,42,4945.7,42,4153.4
43,4019.9,43,5331.6,43,4591.8
44,3990.9,44,4791.4,44,4275.9
45,4058.8,45,5447,45,4110.6
46,3878.1,46,5180.5,46,4134.2
47,3760.8,47,5140.7,47,4003.7
48,3414.3,48,5385.9,48,3764
49,3311.5,49,5153.2,49,3771.4
50,3886.8,50,5122.8,50,4408.7
51,3575,51,5253.7,51,4535.5
52,3636.5,52,4734.8,52,3816.3
53,3885.1,53,5333.3,53,4135.5
54,4055.2,54,5641.5,54,4721.4
55,4038.8,55,5757.8,55,4186.8
56,3791.1,56,4976,56,4167.7
57,3551.9,57,5078.5,57,4386.1
58,4076.2,58,5421.8,58,4195.7
59,3149.3,59,5452.6,59,3135.5
60,3273.6,60,5142.6,60,3536
61,3272.6,61,5147.2,61,3418.3
62,2817.5,62,5293.1,62,3033.3
63,2867.3,63,3603.9,63,2738.9
64,3481.2,64,5281.2,64,3329.2
65,3860.5,65,5530.8,65,3155.2
66,3809.7,66,4884.2,66,3663.5
67,2537.8,67,4080.9,67,2426.4
68,2413.6,68,4639.1,68,2805.4
69,3018.9,69,5051.4,69,3366.1
70,2742.6,70,6170.4,70,3465.4
71,2082.2,71,4768.5,71,2304
72,2057.2,72,4679.9,72,2300.7
73,2863.7,73,5488.5,73,3069.5
74,2616.7,74,5434.2,74,2753.9
75,2112.2,75,4465.2,75,2700.5
76,2231.6,76,4952.8,76,2483.1
77,2204.5,77,4559.8,77,2467.1
78,2278,78,4896.8,78,2718.7
79,1944.6,79,4804.8,79,2060.6
80,2821,80,5306.9,80,3323.5
81,2073.1,81,4674.2,81,2211.6
82,2122.7,82,4720.2,82,2652
83,1975,83,3893.5,83,2520.5
84,2498.6,84,5418.3,84,2954.5
85,2993,85,6050.7,85,2524.8
86,2174.6,86,4908.3,86,2410.4
87,2177.2,87,5111.9,87,2360.4
88,2774.8,88,5095.9,88,3048.6
89,2715.9,89,5496.8,89,3012
90,3028.4,90,5393.9,90,3118.5
91,2630.6,91,5674.1,91,2888.8
92,2479.2,92,5752.8,92,3021.4
93,2335.7,93,5138.4,93,2698.4
94,2421.6,94,4517.5,94,2182.5
95,2768.4,95,5844.1,95,3024.1
96,2072.8,96,4767.1,96,2214.4
97,2341,97,5161.4,97,2670.9
98,2335.8,98,5214.3,98,2918.3
99,3540.7,99,6093.5,99,3160.3
100,2768.8,100,5847.3,100,3079.8
101,2503.7,101,4716.1,101,3033.5
102,2854.8,102,5717.1,102,3143.7
103,2547.3,103,5520.2,103,2861.3
104,2345,104,4263.2,104,2194.1
105,2915.5,105,5915.1,105,3410.1
106,3342.2,106,6938.9,106,2847.8
107,1982.7,107,4617.1,107,2321.9
108,3028.7,108,5851.5,108,3543.9
109,2516.1,109,5795.2,109,2748.3
110,3252.4,110,5677.4,110,2599.4
111,3091.1,111,5220.8,111,3027.8
112,2131.2,112,4793.7,112,2373.2
113,2934.8,113,5320.3,113,2435.5
114,2179.1,114,4740.5,114,2481.1
115,1923.3,115,4783,115,2262.2
116,2681.4,116,5003,116,3553.2
117,3098.9,117,5900.7,117,2461.4
118,2888.1,118,5026.8,118,3236.1
119,2287.1,119,5366.1,119,2619.1
120,2075.3,120,5286.5,120,2266.2
121,2315.8,121,5132.3,121,2659.3
122,2561.2,122,5781.5,122,2814.6
123,3425,123,6352.5,123,2711.4
124,3273.7,124,5181.4,124,3262
125,2433.3,125,5380.2,125,3145.5
126,2276.2,126,4897.5,126,2727.4
